need_name,internal_background,example_id,natural_action_example,natural_context,question_type_fit,nearby_need_possible,writing_caution
関係欲求,所属・親和,関係-03,予定を決めるとき、自分の希望だけでなく相手の都合もかなり気にする,対人・予定,理由選択,自律欲求,自律欲求との対比向き
関係欲求,所属・親和,関係-04,一人で達成するより、誰かと一緒に喜べる方が嬉しいことがある,成果・イベント,理由選択,評価欲求,評価欲求との違いは共有感
関係欲求,所属・親和,関係-05,場の空気が悪くなると、内容より先に人間関係が気になる,話し合い,違和感選択,安定欲求,安定欲求と重なる
関係欲求,所属・親和,関係-06,久しぶりの相手にも、自然に近況を聞きたくなる,対話,行動選択,探究欲求,社交性全般と混同しすぎない
関係欲求,所属・親和,関係-07,誰かが困っていると、自分にできる範囲で手伝いたくなる,対人,行動選択,影響欲求,影響欲求との区別は支援・つながり
関係欲求,所属・親和,関係-08,グループで動くなら、全員が納得して進める形にしたい,グループ,理由選択,秩序欲求,秩序欲求とも重なる
関係欲求,所属・親和,関係-09,自分だけ浮いている感じがすると、やる気が下がりやすい,集団,違和感選択,安定欲求,強すぎる不安表現を避ける
関係欲求,所属・親和,関係-10,良いものを見つけると、誰かにも教えたくなる,趣味・買い物,行動選択,評価欲求,評価欲求ではなく共有に寄せる
関係欲求,所属・親和,関係-11,相手が楽しそうにしていると、自分も安心して楽しめる,対人・イベント,理由選択,安定欲求,安定欲求と重なる
関係欲求,所属・親和,関係-12,チーム作業では、成果だけでなく雰囲気も大事にしたい,チーム,理由選択,評価欲求,評価欲求との対比向き
関係欲求,所属・親和,関係-13,誰かと同じものにハマると、一人で楽しむより続きやすい,趣味,理由選択,刺激欲求,刺激欲求と重なる
関係欲求,所属・親和,関係-14,意見を言う前に、それを聞いた相手がどう受け取るか考える,話し合い,行動選択,影響欲求,自律・影響と対比できる
関係欲求,所属・親和,関係-15,小さな雑談や挨拶がある方が、その場に入りやすい,新環境,理由選択,安定欲求,社会不安に見せない
評価欲求,承認・地位,評価-01,頑張ったところを誰かに気づいてもらえると、かなり報われる,成果・努力,理由選択,成長欲求,承認を悪く見せない
評価欲求,承認・地位,評価-02,自分の担当した部分がきちんと評価されると、次も頑張りやすい,チーム,理由選択,関係欲求,関係欲求との区別は認知・評価
評価欲求,承認・地位,評価-03,人前で褒められると、少し照れつつも嬉しい,対人・発表,行動/理由,関係欲求,露骨な地位欲にしない
評価欲求,承認・地位,評価-04,成果物を出すなら、ちゃんと見てもらえる場がある方が張り合いが出る,制作・発表,理由選択,創造欲求,創造欲求と重なる
評価欲求,承認・地位,評価-05,努力が見えない形で流されると、少しもやっとする,違和感,違和感選択,関係欲求,被害者感を強めすぎない
評価欲求,承認・地位,評価-06,順位や点数が出ると、自分の位置を確認したくなる,テスト・競技,行動選択,成長欲求,成長欲求との対比に使いやすい
評価欲求,承認・地位,評価-07,人に任されるなら、信頼されていると感じられる役割だと嬉しい,役割,理由選択,影響欲求,影響欲求と重なる
評価欲求,承認・地位,評価-08,褒め言葉よりも、具体的にどこが良かったか言われると残りやすい,評価,理由選択,成長欲求,成長欲求とも近い
評価欲求,承認・地位,評価-09,雑に扱われたり軽く見られたりすると、内容以上に引っかかる,対人,違和感選択,安定欲求,強すぎる地位表現を避ける
評価欲求,承認・地位,評価-10,発表や演奏では、客席の反応があると力が入りやすい,発表・部活,理由選択,刺激欲求,刺激欲求とも重なる
評価欲求,承認・地位,評価-11,自分の強みが活きる役割を任されると、やる気が上がる,役割,理由選択,成長欲求,成長欲求と重なる
評価欲求,承認・地位,評価-12,陰で支える仕事でも、誰かが見てくれていると嬉しい,支援・裏方,理由選択,関係欲求,関係欲求とも重なる
評価欲求,承認・地位,評価-13,良い結果が出たとき、少しは誇っていいと思える時間がほしい,成果後,理由選択,意味欲求,自慢に見えない表現にする
評価欲求,承認・地位,評価-14,周囲の期待に応えられたと感じると、自信につながる,役割・成果,理由選択,関係欲求,関係欲求と重なる
評価欲求,承認・地位,評価-15,同じ努力なら、きちんと成果として残る形にしたい,学習・仕事,行動選択,成長欲求,成長欲求と区別しにくい
影響欲求,権力・主導・作用,影響-01,場が停滞していると、何か一つ提案して動かしたくなる,グループ,行動選択,自律欲求,支配的に書かない
影響欲求,権力・主導・作用,影響-02,問題が見えたら、誰かが動くのを待つより自分から直しに行きたくなる,問題解決,行動選択,成長欲求,成長欲求とも重なる
影響欲求,権力・主導・作用,影響-03,話し合いでは、結論が出るように流れを整理したくなる,会議,行動選択,秩序欲求,秩序欲求と重なる
影響欲求,権力・主導・作用,影響-04,自分の一言で空気や方向性が変わると、手応えを感じる,対人・集団,理由選択,評価欲求,評価欲求と混ざりやすい
影響欲求,権力・主導・作用,影響-05,誰かの困りごとに対して、具体的に状況を良くする手段を考える,支援,行動選択,関係欲求,関係欲求との区別は変化を起こすこと
影響欲求,権力・主導・作用,影響-06,役割を任されるなら、全体に影響する判断にも関わりたい,役割,理由選択,評価欲求,評価欲求とも近い
影響欲求,権力・主導・作用,影響-07,不便なルールや仕組みを見ると、改善案を考えたくなる,組織・環境,行動選択,秩序欲求,自律欲求・秩序欲求と重なる
影響欲求,権力・主導・作用,影響-08,チームで動くとき、必要なら先に声を出して方向を示す,チーム,行動選択,関係欲求,リーダー像に固定しすぎない
影響欲求,権力・主導・作用,影響-09,ただ参加するより、何かしら自分の働きかけが残る方が嬉しい,イベント・企画,理由選択,創造欲求,創造欲求とも重なる
影響欲求,権力・主導・作用,影響-10,困っている場面では、見守るより手を出して変えたくなることがある,トラブル,行動選択,関係欲求,過干渉に見せない
影響欲求,権力・主導・作用,影響-11,意見を出すなら、実際に採用されて形になるところまで見たい,提案,理由選択,評価欲求,評価欲求との区別に注意
影響欲求,権力・主導・作用,影響-12,自分が関わったことで、前より良くなったと感じる瞬間が好き,成果・改善,理由選択,成長欲求,成長欲求と重なる
影響欲求,権力・主導・作用,影響-13,曖昧なまま進む場面では、誰かが決める役を担う方が楽なことがある,会議・集団,行動選択,秩序欲求,秩序欲求と重なる
影響欲求,権力・主導・作用,影響-14,人の背中を押せたと感じると、自分も少し満たされる,対人支援,理由選択,関係欲求,関係欲求と重なる
影響欲求,権力・主導・作用,影響-15,小さな企画でも、ただ乗るより自分で企画する方に惹かれる,イベント,行動選択,創造欲求,創造欲求・刺激欲求と重なる
秩序欲求,構造化・予測可能性,秩序-01,やることが多いとき、まず一覧にして全体を見えるようにする,課題・仕事,行動選択,安定欲求,安定欲求と重なる
秩序欲求,構造化・予測可能性,秩序-02,説明が散らかっていると、順番や分類を整えたくなる,情報整理,違和感選択,探究欲求,探究欲求と重なる
秩序欲求,構造化・予測可能性,秩序-03,予定を決めるなら、集合時間や持ち物を先に確認しておきたい,外出・イベント,行動選択,安定欲求,安定欲求と区別しにくい
秩序欲求,構造化・予測可能性,秩序-04,作業前に、必要な道具や資料をそろえてから始める,作業,行動選択,安定欲求,安定欲求と重なる
秩序欲求,構造化・予測可能性,秩序-05,ルールや役割が曖昧な状態が続くと、少し落ち着かない,グループ,違和感選択,影響欲求,影響欲求との対比に使える
秩序欲求,構造化・予測可能性,秩序-06,ノートやファイルは、あとで見返しやすい形にしておきたい,学習・整理,行動選択,成長欲求,成長欲求とも重なる
秩序欲求,構造化・予測可能性,秩序-07,話し合いでは、まず論点を分けて考える方が進めやすい,会議,行動選択,影響欲求,影響欲求と重なる
秩序欲求,構造化・予測可能性,秩序-08,初めてのことでも、手順が見えていると安心して取り組める,挑戦,理由選択,安定欲求,安定欲求と重なる
秩序欲求,構造化・予測可能性,秩序-09,気になることが複数あると、優先順位をつけたくなる,日常・仕事,行動選択,成長欲求,成長欲求と重なる
秩序欲求,構造化・予測可能性,秩序-10,机や画面の中が整理されている方が、考えがまとまりやすい,環境,理由選択,安定欲求,安定欲求と重なる
秩序欲求,構造化・予測可能性,秩序-11,締切があるものは、逆算してどこまでに何をするか決める,課題,行動選択,成長欲求,成長欲求とも近い
秩序欲求,構造化・予測可能性,秩序-12,データや情報を見ると、表や図にまとめたくなることがある,学習・分析,行動選択,探究欲求,探究欲求とも重なる
秩序欲求,構造化・予測可能性,秩序-13,予定変更が入ったら、まず全体の組み直しを考える,日程変更,行動選択,安定欲求,安定欲求と重なる
秩序欲求,構造化・予測可能性,秩序-14,複雑な話は、一度紙に書き出して整理すると考えやすい,思考整理,行動選択,探究欲求,探究欲求と重なる
秩序欲求,構造化・予測可能性,秩序-15,自由すぎる課題では、最初に自分なりの枠組みを作りたくなる,課題・制作,行動選択,自律欲求,自律欲求と重なる
刺激欲求,新奇性・快楽,刺激-01,予定のない日には、行ったことのない店や場所にふらっと行きたくなる,休日,行動選択,探究欲求,浪費・衝動に見せすぎない
刺激欲求,新奇性・快楽,刺激-02,いつも同じ流れが続くと、少し違うことを入れたくなる,日常,違和感選択,自律欲求,自律欲求とも重なる
刺激欲求,新奇性・快楽,刺激-03,面白そうと思ったら、細かく調べる前にまず試してみることがある,趣味・挑戦,行動選択,探究欲求,探究欲求との対比に使える
刺激欲求,新奇性・快楽,刺激-04,初めてのイベントや企画には、少し不安でも惹かれる,イベント,理由選択,安定欲求,安定欲求との対比に強い
刺激欲求,新奇性・快楽,刺激-05,退屈な作業でも、ゲーム感覚や縛りを入れると進めやすい,作業,行動選択,創造欲求,創造欲求と重なる
刺激欲求,新奇性・快楽,刺激-06,新しい音楽・動画・作品を見つけると、とりあえず触れてみたくなる,娯楽,行動選択,探究欲求,探究欲求と重なる
刺激欲求,新奇性・快楽,刺激-07,旅行や外出では、予定通りだけでなく偶然の寄り道も楽しみたい,旅行,理由選択,秩序欲求,秩序欲求との対比向き
刺激欲求,新奇性・快楽,刺激-08,その場のノリで予定が変わるのも、悪くないと思えることがある,休日・対人,理由選択,関係欲求,関係欲求とも重なる
刺激欲求,新奇性・快楽,刺激-09,同じ練習を繰り返すなら、少し変化をつけた方が集中できる,練習,行動選択,成長欲求,成長欲求と重なる
刺激欲求,新奇性・快楽,刺激-10,見慣れないものや変わったものに、つい目が行く,日常・買い物,行動選択,創造欲求,創造欲求と重なる
刺激欲求,新奇性・快楽,刺激-11,予定が全部きっちり決まっているより、少し余白がある方が楽しめる,外出,理由選択,自律欲求,自律欲求と重なる
刺激欲求,新奇性・快楽,刺激-12,新しい環境に入ると、最初は疲れてもどこかワクワクする,新環境,理由選択,安定欲求,安定欲求との対比に使える
刺激欲求,新奇性・快楽,刺激-13,流行りものは、批評する前に一度触ってみたくなる,流行・文化,行動選択,探究欲求,探究欲求とも近い
刺激欲求,新奇性・快楽,刺激-14,小さな冒険や寄り道があると、日常の印象が変わる,日常,理由選択,意味欲求,意味欲求と重なる
刺激欲求,新奇性・快楽,刺激-15,安全な範囲なら、予想外の展開も楽しめる,イベント・旅行,理由選択,安定欲求,安定欲求と併存可能
創造欲求,表現・生成,創造-01,考えたことを、文章や図や形にして残したくなる,日常・学習,行動選択,意味欲求,意味欲求とも重なる
創造欲求,表現・生成,創造-02,面白いアイデアが浮かぶと、誰に見せる前でも試作したくなる,制作,行動選択,評価欲求,評価欲求との区別は内的生成
創造欲求,表現・生成,創造-03,既存のものを見ると、自分ならどう作るか考えることがある,作品・道具,行動選択,探究欲求,探究欲求と重なる
創造欲求,表現・生成,創造-04,自由課題では、無難にまとめるより自分らしい形を探したくなる,課題,理由選択,自律欲求,自律欲求と重なる
創造欲求,表現・生成,創造-05,言葉にしにくい感覚を、何かの形で表したくなることがある,感情・表現,行動選択,意味欲求,意味欲求と近い
創造欲求,表現・生成,創造-06,作りかけのものがあると、続きを少しでも進めたくなる,制作・趣味,行動選択,成長欲求,成長欲求とも重なる
創造欲求,表現・生成,創造-07,人の作品に触れると、受け取るだけでなく自分も何か作りたくなる,鑑賞,行動選択,刺激欲求,刺激欲求と重なる
創造欲求,表現・生成,創造-08,同じ情報でも、見せ方や構成を工夫したくなる,発表・資料,行動選択,秩序欲求,秩序欲求とも重なる
創造欲求,表現・生成,創造-09,問題を解くとき、別解や自分なりの説明を考えるのが好き,学習,行動選択,探究欲求,探究・成長と重なる
創造欲求,表現・生成,創造-10,何かを任されるなら、ただこなすより少し自分の工夫を入れたい,役割・作業,理由選択,自律欲求,自律欲求と重なる
創造欲求,表現・生成,創造-11,頭の中にあるイメージが形になっていく過程が楽しい,制作,理由選択,成長欲求,成長欲求とも近い
創造欲求,表現・生成,創造-12,既存のテンプレートを使うときも、少し調整して自分に合う形にしたい,作業・資料,行動選択,秩序欲求,秩序欲求とも近い
創造欲求,表現・生成,創造-13,会話の中で出た案を、企画や文章に広げてみたくなる,対話・企画,行動選択,影響欲求,影響欲求と重なる
創造欲求,表現・生成,創造-14,うまく説明できない考えほど、図や例えで表現したくなる,説明・学習,行動選択,探究欲求,探究欲求と重なる
創造欲求,表現・生成,創造-15,完成度が低くても、とりあえず形にしてみると考えが進む,制作・思考,理由選択,刺激欲求,刺激欲求とも重なる
意味欲求,自己超越・物語化,意味-01,何かを続けるとき、それが自分にとって何につながるのか考える,継続・進路,理由選択,成長欲求,成長欲求と重なる
意味欲求,自己超越・物語化,意味-02,ただ便利なだけでなく、背景や思想が感じられるものに惹かれる,消費・文化,理由選択,探究欲求,探究欲求とも近い
意味欲求,自己超越・物語化,意味-03,出来事がうまくいかなかったときも、そこから何を学べるか考える,失敗,行動選択,成長欲求,成長欲求と重なる
意味欲求,自己超越・物語化,意味-04,選択に迷ったとき、自分が大事にしたい価値観に照らして考える,意思決定,行動選択,自律欲求,自律欲求と重なる
意味欲求,自己超越・物語化,意味-05,日常の小さな出来事にも、あとから意味づけをしたくなることがある,日常,行動選択,創造欲求,創造欲求とも近い
意味欲求,自己超越・物語化,意味-06,作品や景色に触れたとき、なぜか自分の人生と結びつけて考える,鑑賞・外出,行動選択,創造欲求,創造欲求と重なる
意味欲求,自己超越・物語化,意味-07,努力するなら、誰かの役に立つ形や大きな流れにつながる方が燃える,努力・役割,理由選択,影響欲求,関係・影響と重なる
意味欲求,自己超越・物語化,意味-08,ただ勝つだけより、その過程に納得できるかを大事にしたい,競争・成果,理由選択,評価欲求,評価欲求との対比に使いやすい
意味欲求,自己超越・物語化,意味-09,自分の経験を、あとで物語として整理したくなることがある,振り返り,行動選択,創造欲求,創造欲求とも重なる
意味欲求,自己超越・物語化,意味-10,何かを選ぶとき、効率だけでは決めきれないことがある,選択,違和感選択,秩序欲求,秩序欲求との対比に使える
意味欲求,自己超越・物語化,意味-11,人の話を聞くと、その人が何を大事にしているのか気になる,対話,行動選択,探究欲求,探究・関係と重なる
意味欲求,自己超越・物語化,意味-12,自分がやる意味を見失うと、簡単な作業でも急に重く感じる,違和感,違和感選択,安定欲求,安定欲求に寄せすぎない
意味欲求,自己超越・物語化,意味-13,節目の出来事では、これまでとこれからを考えたくなる,節目・進路,行動選択,成長欲求,成長欲求とも近い
意味欲求,自己超越・物語化,意味-14,好きなものには、自分なりの美学やこだわりを持ちたくなる,趣味,理由選択,創造欲求,創造欲求と重なる
意味欲求,自己超越・物語化,意味-15,単なる作業でも、目的が腑に落ちると急にやりやすくなる,作業・学習,理由選択,自律欲求,自律欲求と重なる
